TILEID,SURVEY,PROGRAM,FAPRGRM,FAFLAVOR,NEXP,EXPTIME,TILERA,TILEDEC,EFFTIME_ETC,EFFTIME_SPEC,EFFTIME_GFA,GOALTIME,OBSSTATUS,LRG_EFFTIME_DARK,ELG_EFFTIME_DARK,BGS_EFFTIME_BRIGHT,LYA_EFFTIME_DARK,GOALTYPE,MINTFRAC,LASTNIGHT
80856,sv1,dark,lrgqso,sv1lrgqso,7,5531.7,180.0,28.0,0.0,5097.0,0.0,4000.0,obsend,4733.7,5097.0,4700.5,4284.0,dark,0.9,20210318
80689,sv1,dark,elg,sv1elg,8,7345.9,131.0,32.375,0.0,5671.1,0.0,4000.0,obsend,5272.2,5671.1,5299.4,5681.1,dark,0.9,20210319
80702,sv1,dark,lrgqso,sv1lrgqso,13,14459.8,158.2,-25.0,0.0,5332.5,0.0,4000.0,obsend,4838.1,5332.5,4904.9,3236.8,dark,0.9,20210319
80882,sv1,dark,elg,sv1elg,5,2780.5,170.2,10.0,0.0,3161.0,0.0,4000.0,obsstart,2904.0,3161.0,2915.0,2687.0,dark,0.9,20210319
80647,sv1,bright,bgsmws,sv1bgsmws,11,6699.7,130.4,-7.0,0.0,947.9,0.0,600.0,obsend,889.4,970.0,947.9,604.7,bright,0.9,20210320
80876,sv1,dark,elg,sv1elg,3,3600.2,142.0,32.375,0.0,1447.8,0.0,4000.0,obsstart,1329.7,1447.8,1433.5,1590.2,dark,0.9,20210320
80879,sv1,dark,lrgqso2,sv1lrgqso2,8,7754.5,165.4,32.375,0.0,5653.5,0.0,4000.0,obsend,5175.2,5653.5,5185.6,5246.4,dark,0.9,20210321
80619,sv1,bright,bgsmws,sv1bgsmws,18,5401.4,144.0,65.0,0.0,1037.6,0.0,600.0,obsend,1017.4,1153.4,1037.6,545.8,bright,0.9,20210321
80737,sv1,other,ssv,sv1ssv,3,3600.1,153.26,-1.11,0.0,200.5,0.0,1000.0,obsstart,167.2,200.5,177.0,103.8,other,0.9,20210321
80859,sv1,dark,lrgqso,sv1lrgqso,7,5819.7,228.7,17.4,0.0,3967.8,0.0,4000.0,obsend,3647.2,3967.8,3603.6,3125.7,dark,0.9,20210321
80663,sv1,bright,bgsmws,sv1bgsmws,12,8337.0,184.0,-0.5,0.0,2145.9,0.0,600.0,obsend,2036.4,2327.1,2145.9,1439.0,bright,0.9,20210322
80662,sv1,bright,bgsmws,sv1bgsmws,11,6481.3,180.0,-0.5,0.0,1580.6,0.0,600.0,obsend,1477.8,1701.1,1580.6,1142.1,bright,0.9,20210322
80650,sv1,bright,bgsmws,sv1bgsmws,22,8411.6,135.0,83.0,0.0,2301.2,0.0,600.0,obsend,2156.2,2401.7,2301.2,1468.4,bright,0.9,20210322
80661,sv1,bright,bgsmws,sv1bgsmws,11,5116.1,176.0,-0.5,0.0,1518.5,0.0,600.0,obsend,1418.5,1591.4,1518.5,1179.0,bright,0.9,20210322
80655,sv1,bright,bgsmws,sv1bgsmws,17,7019.5,155.0,83.0,0.0,1907.4,0.0,600.0,obsend,1793.0,2017.2,1907.4,1162.2,bright,0.9,20210322
80665,sv1,bright,bgsmws,sv1bgsmws,9,3593.9,198.0,7.0,0.0,1241.9,0.0,600.0,obsend,1153.4,1289.3,1241.9,972.3,bright,0.9,20210322
80730,sv1,other,ssv,sv1ssv,14,7153.1,173.55,52.86,0.0,1821.9,0.0,1000.0,obsend,1617.3,1821.9,1712.1,1251.3,other,0.9,20210322
80732,sv1,other,ssv,sv1ssv,12,5914.9,198.04,0.0,0.0,1656.1,0.0,1000.0,obsend,1480.1,1656.1,1585.3,1403.4,other,0.9,20210322
81060,sv2,bright,bright,sv2bright,2,2129.5,181.336,53.742,347.2,356.5,0.0,150.0,obsend,335.5,419.0,356.5,295.5,bright,0.9,20210324
81059,sv2,bright,bright,sv2bright,2,1337.7,176.21,52.435,222.7,277.2,0.0,150.0,obsend,261.4,324.1,277.2,201.3,bright,0.9,20210324
80613,sv1,bright,bgsmws,sv1bgsmws,30,10975.0,106.74,56.1,0.0,3027.9,0.0,600.0,obsend,2914.7,3364.8,3027.9,1900.3,bright,0.9,20210324
80726,sv1,other,ssv,sv1ssv,6,4239.3,132.87,63.73,0.0,1458.2,0.0,1000.0,obsend,1213.7,1458.2,1251.6,617.5,other,0.9,20210324
81056,sv2,bright,bright,sv2bright,2,1313.8,171.407,50.926,317.7,354.3,0.0,150.0,obsend,331.4,402.1,354.3,282.2,bright,0.9,20210324
81057,sv2,bright,bright,sv2bright,2,1336.5,171.522,54.262,0.0,296.5,0.0,150.0,obsend,279.1,344.6,296.5,212.2,bright,0.9,20210324
81058,sv2,bright,bright,sv2bright,2,1405.7,176.727,55.759,346.1,369.7,0.0,150.0,obsend,350.0,434.0,369.7,268.5,bright,0.9,20210324
81061,sv2,bright,bright,sv2bright,3,2466.8,182.302,57.034,0.0,439.8,0.0,150.0,obsend,417.5,524.5,439.8,318.7,bright,0.9,20210324
81066,sv2,bright,bright,sv2bright,3,2700.2,179.092,55.604,271.1,331.8,0.0,150.0,obsend,311.5,390.8,331.8,183.0,bright,0.9,20210326
81065,sv2,bright,bright,sv2bright,3,2558.1,173.8,54.108,191.1,272.0,0.0,150.0,obsend,262.0,345.1,272.0,139.3,bright,0.9,20210327
81062,sv2,bright,bright,sv2bright,6,4120.7,188.214,58.079,0.0,344.6,0.0,150.0,obsend,324.6,412.9,344.6,216.2,bright,0.9,20210327
81063,sv2,bright,bright,sv2bright,7,5120.6,186.874,54.818,355.0,444.4,0.0,150.0,obsend,422.3,541.6,444.4,259.7,bright,0.9,20210327
81064,sv2,bright,bright,sv2bright,4,3600.2,173.518,50.771,327.1,409.3,0.0,150.0,obsend,394.8,512.1,409.3,203.9,bright,0.9,20210327
81067,sv2,bright,bright,sv2bright,3,3039.0,178.392,52.28,282.5,413.2,0.0,150.0,obsend,398.0,517.4,413.2,235.1,bright,0.9,20210327
80740,sv1,bright,bgsmws,sv1bgsmws,3,900.2,135.0,0.5,0.0,271.3,0.0,600.0,obsstart,254.8,275.2,271.3,161.9,bright,0.9,20210328
80644,sv1,bright,bgsmws,sv1bgsmws,15,4501.1,116.0,15.5,0.0,1605.6,0.0,600.0,obsend,1511.1,1725.1,1605.6,1068.3,bright,0.9,20210328
80742,sv1,bright,bgsmws,sv1bgsmws,7,6330.4,150.1,3.0,0.0,446.2,0.0,600.0,obsstart,419.6,488.1,446.2,316.4,bright,0.9,20210328
80618,sv1,bright,bgsmws,sv1bgsmws,30,9779.6,114.221,38.469,0.0,2202.9,0.0,600.0,obsend,2138.6,2426.4,2202.9,1342.8,bright,0.9,20210328
80651,sv1,bright,bgsmws,sv1bgsmws,10,5623.9,145.0,32.375,0.0,921.9,0.0,600.0,obsend,872.0,979.7,921.9,672.0,bright,0.9,20210328
80724,sv1,other,ssv,sv1ssv,1,655.9,132.7,9.93,73.5,132.3,0.0,1000.0,obsstart,100.2,132.3,102.4,42.9,other,0.9,20210328
80722,sv1,other,ssv,sv1ssv,8,4225.2,128.5,0.8,0.0,1231.5,0.0,1000.0,obsend,1066.7,1231.5,1123.6,713.8,other,0.9,20210328
80728,sv1,other,ssv,sv1ssv,5,2576.3,159.08,7.5,0.0,1103.0,0.0,1000.0,obsend,964.5,1103.0,1017.9,622.9,other,0.9,20210331
80614,sv1,bright,bgsmws,sv1bgsmws,4,1431.2,154.1,-1.375,0.0,606.6,0.0,600.0,obsend,582.3,657.9,606.6,336.8,bright,0.9,20210331
80652,sv1,bright,bgsmws,sv1bgsmws,7,5474.0,149.319,37.1872,0.0,1148.6,0.0,600.0,obsend,1094.3,1273.5,1148.6,719.4,bright,0.9,20210331
80657,sv1,bright,bgsmws,sv1bgsmws,7,5931.4,158.128,10.36,0.0,907.9,0.0,600.0,obsend,857.9,1000.0,907.9,481.5,bright,0.9,20210331
81068,sv2,bright,bright,sv2bright,1,472.4,183.586,53.587,156.3,137.5,0.0,150.0,obsend,126.5,141.2,137.5,81.4,bright,0.9,20210401
81069,sv2,bright,bright,sv2bright,2,2341.3,184.748,56.879,93.2,55.7,0.0,150.0,obsstart,48.1,51.5,55.7,60.4,bright,0.9,20210401
81072,sv2,bright,bright,sv2bright,1,718.2,172.852,51.936,147.9,175.4,0.0,150.0,obsend,161.7,178.5,175.4,97.4,bright,0.9,20210401
81074,sv2,bright,bright,sv2bright,1,420.9,178.345,56.769,148.7,155.7,0.0,150.0,obsend,143.6,160.8,155.7,96.2,bright,0.9,20210401
81000,sv2,dark,dark,sv2dark,1,1317.3,171.407,50.926,1004.0,1321.1,0.0,1000.0,obsend,1158.9,1321.1,1171.5,904.8,dark,0.9,20210402
81001,sv2,dark,dark,sv2dark,1,1081.6,171.522,54.262,1006.3,1112.3,0.0,1000.0,obsend,974.8,1112.3,985.1,757.4,dark,0.9,20210402
81002,sv2,dark,dark,sv2dark,1,1631.7,176.727,55.759,1328.8,1419.6,0.0,1000.0,obsend,1268.4,1419.6,1281.7,1096.1,dark,0.9,20210402
